property_id,lat,lng,addr_street,suburb,price,property_type,year,bedrooms,bathrooms,parking_space,Shopping_center_id,Distance_to_sc,Train_station_id,Distance_to_train_station,travel_min_to_CBD,Transfer_flag,Hospital_id,Distance_to_hospital,Supermarket_id,Distance_to_supermaket
95205,-37.92768097,145.0426788,22 Mortimore Street,Bentleigh,11152000,house,2008,3,1,2,SC_046,1370.0,19938,693.0,39.0,0,hospital_110,790.0,S_107,909.0
28545,-37.806689,144.98403000000002,18 Derby Street,Collingwood,16380000,house,2016,2,1,2,SC_008,1374.0,19977,852.0,8.0,0,hospital_170,324.0,S_175,352.0
55667,-37.83778,145.06718500000002,41 Christowel Street,Camberwell,17800000,house,2009,4,2,1,SC_099,1698.0,19851,357.0,30.0,0,hospital_168,1411.0,S_160,456.0
33918,-37.70248032,145.02034,16 Aberdeen Street,Reservoir,5300000,house,2009,3,1,1,SC_047,4110.0,20009,1128.0,34.0,0,hospital_025,2578.0,S_225,2604.0
49501,-37.803238,145.06736999999998,41 Birdwood Street,Balwyn,14040000,house,2011,3,2,2,SC_099,2489.0,19892,2523.0,27.0,0,hospital_064,1783.0,S_137,1153.0
65695,-37.778415,145.31202,117 MANCHESTER ROAD,Mooroolbark,4059000,house,2011,4,3,2,SC_084,2262.0,19877,706.0,53.0,0,hospital_113,4185.0,S_168,2232.0
47867,-37.807532,145.026819,13 Studley Park Road,Kew,26000000,house,2013,2,1,1,SC_083,1634.0,19905,1628.0,19.0,0,hospital_032,1052.0,S_039,411.0
49435,-37.806177000000005,145.100788,340 Union Road,Balwyn,9090000,house,2014,3,2,2,SC_020,2320.0,19896,1533.0,34.0,0,hospital_117,1522.0,S_136,230.0
12867,-37.711082,144.77358600000002,3 Acacia Court,Delahey,6664000,house,2010,3,2,2,SC_107,3482.0,20000,1109.0,39.0,0,hospital_057,6574.0,S_094,1004.0
45182,-37.699052,145.116333,5 Greenhill Road,Greensborough,4944000,house,2010,3,2,1,SC_051,4754.0,19985,897.0,39.0,0,hospital_075,1143.0,S_210,1293.0
42320,-37.739847,145.082682,5 Gordon Court,Viewbank,8550000,house,2015,3,2,2,SC_017,2166.0,19936,1495.0,30.0,0,hospital_066,2515.0,S_100,2489.0
52089,-37.824998,145.009645,100 Stawell Street,Richmond,6410000,house,2010,2,1,0,SC_038,1738.0,19906,339.0,12.0,0,hospital_122,767.0,S_102,1713.0
28254,-37.79923248,144.9819946,344 George Street,Fitzroy,5064000,house,2008,3,1,0,SC_008,1765.0,19975,1096.0,11.0,0,hospital_178,1020.0,S_060,268.0
83980,-37.85237885,144.98909,4 Latrobe Street,Windsor,7631000,house,2009,3,1,0,SC_066,690.0,19958,326.0,10.0,0,hospital_155,722.0,S_115,1502.0
54484,-37.82065,145.016698,4 Palmer Place,Hawthorn,25600000,house,2013,4,2,2,SC_083,1661.0,19905,561.0,19.0,0,hospital_122,1151.0,S_208,1652.0
96766,-38.006791,145.281176,33 Eyebright Square,Hallam,2262000,house,2011,3,2,2,SC_077,2889.0,19885,1576.0,57.0,0,hospital_069,3341.0,S_212,1380.0
45247,-37.703995,145.094624,52 Adeline Street,Greensborough,7910000,house,2015,3,2,1,SC_062,5879.0,19985,1200.0,39.0,0,hospital_075,998.0,S_020,485.0
26383,-37.581635999999996,144.930821,3 Poole Street,Craigieburn,3740000,house,2014,3,2,2,SC_005,1206.0,40221,2502.0,46.0,0,hospital_104,7742.0,S_178,1405.0
61907,-37.797319,145.246401,4 Cassandra Court,Ringwood,10240000,house,2010,4,3,2,SC_032,2312.0,19879,1664.0,47.0,0,hospital_164,1416.0,S_157,764.0
26676,-37.600747,144.926149,38 Axminister Dr,Craigieburn,3920000,house,2014,3,1,2,SC_110,1242.0,40221,1519.0,46.0,0,hospital_104,5583.0,S_178,1022.0
56351,-37.851682000000004,145.118571,2/6 Havelock Street,Burwood,8008000,house,2010,2,1,1,SC_037,3649.0,19840,2506.0,28.0,0,hospital_047,1646.0,S_097,1396.0
9343,-37.86135,144.729396,18 Federation Boulevard,Truganina,5620000,house,2012,4,2,2,SC_053,2540.0,46468,1848.0,33.0,0,hospital_073,4718.0,S_007,1365.0
74826,-37.90322876,145.07183840000002,22 Leura Street,Murrumbeena,10032000,house,2008,4,2,2,SC_087,1858.0,19918,1060.0,32.0,0,hospital_159,2151.0,S_167,1858.0
86864,-37.89866,145.004266,51 Montclair Avenue,Brighton,8490000,house,2013,3,1,2,SC_015,3926.0,19953,219.0,19.0,0,hospital_013,828.0,S_151,848.0
39966,-37.697798999999996,145.05324099999999,2 May Court,Bundoora,6000000,house,2015,4,1,2,SC_047,4965.0,19984,3064.0,35.0,0,hospital_037,567.0,S_155,174.0
40494,-37.703137,145.0593,38 Flannery Avenue,Bundoora,4980000,house,2010,3,1,0,SC_047,4696.0,19984,2326.0,35.0,0,hospital_037,234.0,S_155,630.0
84669,-37.886859,144.987647,15 Docker Street,Elwood,32240000,house,2015,4,2,1,SC_015,2112.0,19954,1188.0,17.0,0,hospital_116,1912.0,S_193,1612.0
36238,-37.668953,145.035045,2 Donald Street,Lalor,3960000,house,2015,4,3,2,SC_062,4844.0,20006,1610.0,41.0,0,hospital_053,2533.0,S_229,1343.0
24451,-37.698671000000004,144.972058,5 Oulton Street,Fawkner,7650000,house,2014,4,1,2,SC_030,4223.0,19961,1182.0,36.0,0,hospital_139,3109.0,S_161,1584.0
37795,-37.649642,145.033233,8 Sunbird Gardens,Epping,4950000,house,2015,3,2,1,SC_062,4612.0,20005,411.0,44.0,0,hospital_053,1491.0,S_229,2257.0
13999,-37.75662,144.909174,2 Clarinda Road,Essendon,8600000,house,2013,3,1,0,SC_082,2540.0,20037,622.0,21.0,0,hospital_128,1242.0,S_197,1351.0
61037,-37.825244,145.22583400000002,"1, 9 YARMOUTH STREET",Ringwood,7514000,house,2016,2,1,1,SC_032,1415.0,19902,1078.0,43.0,0,hospital_105,2183.0,S_040,1502.0
34615,-37.697015,145.023847,3 Tunaley Parade,Reservoir,4620000,house,2010,3,1,1,SC_047,4659.0,20008,1080.0,37.0,0,hospital_025,2798.0,S_155,2738.0
92952,-37.986818,145.096522,20 Keefer Street,Mordialloc,6490000,house,2014,3,1,1,SC_003,1865.0,19864,1904.0,40.0,0,hospital_001,2121.0,S_003,1725.0
30188,-37.762275700000004,145.0176849,50 Swift Street,Thornbury,9060000,house,2009,3,1,2,SC_001,2212.0,20015,1827.0,22.0,0,hospital_035,869.0,S_105,1757.0
25262,-37.588066999999995,144.92932,12 Willmott Drive,Craigieburn,3900000,house,2011,3,2,1,SC_110,1458.0,40221,1967.0,46.0,0,hospital_104,7016.0,S_178,779.0
14712,-37.745715999999994,144.901615,67 King Street,Essendon,11604000,house,2014,3,1,1,SC_082,1352.0,20036,1709.0,24.0,0,hospital_184,487.0,S_197,790.0
55771,-37.846119,145.092879,52 Fairview Avenue,Camberwell,11200000,house,2015,3,1,2,SC_042,3478.0,19849,1245.0,34.0,0,hospital_089,1263.0,S_112,2264.0
95366,-37.929925,145.03559099999998,27 South Avenue,Bentleigh,11475000,house,2010,3,1,2,SC_046,1093.0,19937,503.0,36.0,0,hospital_110,364.0,S_107,1291.0
69124,-37.867488,145.034696,39 Johnstone Street,Malvern,26760000,house,2015,3,2,1,SC_023,1206.0,19944,494.0,19.0,0,hospital_157,541.0,S_013,827.0
33525,-37.708612,144.998131,10 McFadzean Avenue,Reservoir,6576000,house,2013,2,1,1,SC_103,3464.0,20009,1006.0,34.0,0,hospital_139,997.0,S_030,2665.0
12154,-37.709641999999995,144.77856200000002,11 Albertine Crescent,Sydenham,7584000,house,2010,3,2,2,SC_107,3211.0,20000,1022.9999999999999,39.0,0,hospital_057,6485.0,S_094,842.0
80061,-37.987353999999996,145.17908899999998,3 Devonshire Drive,Keysborough,3672000,house,2013,3,2,2,SC_057,783.0,19889,1494.0,50.0,0,hospital_096,995.0,S_079,862.0
62386,-37.829733000000004,145.229269,9 McKay Court,Ringwood,12090000,house,2015,2,1,0,SC_032,1891.0,19871,1353.0,46.0,0,hospital_179,2199.0,S_040,1980.0
57307,-37.826648999999996,145.07408700000002,42 Warburton Road,Canterbury,12210000,house,2011,3,2,2,SC_099,1434.0,19892,525.0,27.0,0,hospital_168,2731.0,S_160,968.0
78668,-37.959352,145.1542,16 Billing Street,Springvale,7700000,house,2016,3,1,1,SC_057,4077.0,19891,821.0,45.0,0,hospital_124,2478.0,S_075,692.0
